epoch,normalized_score
-1,0.0
0,0.038043478260869595
2,0.0869565217391304
4,0.15217391304347827
6,0.2364130434782607
8,0.47826086956521735
10,0.7146739130434783
12,0.7934782608695651
14,0.8315217391304345
16,0.8478260869565218
18,0.9945652173913043
20,1.0
